일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-14,59500,59500,58200,58800,1569552,-0.8431703204047217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,58800,59300,58200,59300,1855912,1.8900343642611683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,58300,58500,57700,58200,1915854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,58300,58400,57600,58200,1851838,0.6920415224913495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,59500,59800,57800,57800,3659666,-2.5295109612141653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,63200,63600,58700,59300,6117494,-7.053291536050156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,62500,64200,61800,63800,2772246,1.5923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,62500,63800,62100,62800,2289841,1.1272141706924315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,60100,62500,59200,62100,2903206,3.327787021630616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,60900,61500,60000,60100,1472867,-1.7973856209150323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,57600,61200,57600,61200,3682579,5.335628227194492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,59800,60000,58000,58100,1880555,-2.842809364548495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,59300,60000,58600,59800,1948824,1.3559322033898304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,58700,59500,58300,59000,1324562,0.5110732538330494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,58800,59300,58300,58700,1454365,0.859106529209622,99041.0,-25893.0,-425684.0,352536.0,0.0,21271.0,1.4600000381469729,743397.0,0.1700000017881393
2025-12-19,58000,58400,57500,58200,1440858,1.926444833625219,1090.0,-5022.0,-234197.0,238129.0,0.0,134722.0,9.350000381469728,925533.0,0.209999993443489
