일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-26,236500,237500,231000,231500,738058,-2.1141649048625792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,237000,238000,234500,236500,640875,-0.21097046413502107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,238000,238500,235500,237000,689469,-0.42016806722689076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,238500,239000,236500,238000,610805,1.0615711252653928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-19,232500,235500,231500,235500,1487738,2.1691973969631237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,227500,233250,226500,230500,744015,-0.21645021645021645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,233000,233000,229500,231000,769339,-0.21598272138228944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,240500,240500,231000,231500,1520556,-3.7422037422037424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,241500,244000,240000,240500,522965,-1.6359918200409,-44192.0,406.0,84679.0,-40893.0,0.0,27067.0,4.059999942779541,1028731.0,0.6600000262260437
2025-12-12,243000,245000,241500,244500,485052,0.4106776180698152,1236.0,294.0,-60397.0,58867.0,0.0,27843.0,3.7300000190734863,1099022.0,0.699999988079071
2025-12-11,245500,246000,241000,243500,1056918,-0.408997955010225,-17159.0,-17476.0,76425.0,-41790.0,0.0,123757.0,8.859999656677246,1180189.0,0.75
2025-12-10,248000,248000,244000,244500,654772,-1.411290322580645,-193199.0,1712.0,275140.0,-83653.0,0.0,30209.0,3.0,1146395.0,0.7300000190734863
2025-12-09,248000,248500,246000,248000,497708,-0.4016064257028112,-25288.0,-29414.0,39756.0,14946.0,0.0,35795.0,4.53000020980835,1131347.0,0.7200000286102295
2025-12-08,250500,250500,247000,249000,466382,-0.2004008016032064,-82782.0,7239.0,78940.0,-3397.0,0.0,29147.0,3.660000085830689,1153642.0,0.7400000095367432
2025-12-05,247500,250000,246000,249500,575298,1.0121457489878545,629.0,45814.0,-77817.0,31374.0,0.0,36323.0,3.7200000286102295,1135617.0,0.7200000286102295
2025-12-04,245500,248500,244500,247000,487370,0.2028397565922921,-67189.0,-703.0,37479.0,30413.0,0.0,48170.0,6.110000133514404,1096242.0,0.699999988079071
